,Puan,Yorum
3734,1.0,Okunması gereken bir roman. Oldukça akıcı ve tek solukta bitiriliyor. Şiddetle tavsiye ediyorum.
3735,1.0,Çok hızlı ve özenli paketlenmiş şekilde elime ulaştı. Teşekkürler 
3736,1.0,Hızlı geldi ve beklediğim gibiydi.
3737,0.0,Saçma sapan bir roman iki konu var birisi isminde olduğu gibi kardeşinin hikayesi diğeride bir cinayet okuyorsun okuyorsun cinayeti aydınlatmaya calışacak zannediyorsun alakası yok katili bulma şekli var sırf komedi bu kadar basitlik ancak Türk filmlerinde olur millet bu romana nasıl harika diyor şaşıyorum tamamen hayal kırıklığı
3738,1.0,Cok güzel bir hikaye. Oglum cok seviyor 
3739,1.0,Güvenilir tam göründüğü gibi. Hızlı geldi
3740,1.0,Zıt kavramları gercekci resimlerle anlatmış.malzemesi kalın mukavva .ödedigim paraya deger bir set .
3741,1.0,Çok eğlenceli
3742,1.0,4 adet kitap. oğlum 2.5 yaşında baba bunları oku bana deyip fotoğraflarına bakıyor. Sonrasında da resimlerde neler olduğunu sayıyor. Hatırlamadığını tekrar soruyor. Tavsiye edilir.
3743,1.0,MükemmelHerkesin okuması lazım diye düşünüyorum 
3744,1.0,kitaplar cok guzel ve cok cabuk elime gecti tesekkurler
3745,1.0,Sadece bardak oyunu için almıştık ama içinde iki oyun varmış sürpriz oldu bize de. 4 yaşında kızımla ailecek severek oynuyoruz. Hızlı gönderi için teşekkürler
3746,1.0,İletişimleri ve ulaşım şartları çok guel ve ilgiliydi
3747,1.0,içerisinde heyecan
3748,1.0,dün akşam saatlerinde aldgm ürün bugün teslim edildi. verdgm adresten başka bı yerde olmamdan dolayı hepsiekspress ürünü ayağıma kadar getirdi . tşkler Hepsiburada. kitap hakkında yoruma gerek yok heyecan kaldığı yerden devam ediyor....
3749,1.0,Cok hizli teslim edildi. Paketleme guzeldi.
3750,1.0,Kızım için ve arkadaşımın çocuğuna hediye aldım çok memnun kaldık hızlı gönderi kaliteli ürün teşekkür ediyorum.
3751,1.0,Akıcı bir dil okunası bir kitap elinizden bırakamayacaksınız
3752,1.0,zamanında ve sağlam geldi üründen memnunuz
3753,1.0,Ürün bugün elime ulaştı. Öncelikle firmayı hız konusunda tebrik etmek istiyorum çünkü 1 günde geldi kargom. ürün anlatılan gibi ve başlangıç seviyesi drone lara göre çok iyi bir seçim.Firmayi ayrıca tebrik etmek istiyorum işini seven insanlar çalışıyor.
3754,1.0,Ben mutlaka alın derim her bir testte lgs de 2018 veya 2019 çıkmış sorular bulunduruyor bazı soruları zor bazıları orta seviye kalitesine göre fiyatı uygun uygun ve zor kitap istiyorsanız mutlaka almalısınız 
3755,1.0,Kutuyu açıp baktığımda bu kadar iyi olacağını tahmin etmiyordum. Kartonları kalın
3756,0.0,Kağıtlar çok ince
3757,1.0,verilebilecek en güzel hediye bir tane yaptım
3758,1.0,Cilt kalitesi için yazan arkadaşlar için yazıyorum. Bu ürünün yazarıyım kitap kapağı ve içinde ayrılabilir cilt diyor.Yani zaten her kitapçık ayrı ayrı uygulansın diye cilt koparılıpkitapçıkları ayırmanız gerekiyor. 
3759,0.0,Son zamanlarda önüne gelen kitap yazıyor. Böyleleri yüzünden kitap yazmak günümüzde basit bir iş haline geldi ve eskisi kadar ciddiye alınmıyor. Şahsen ben ciddiye almakta güçlük çekiyorum. İki kelimeyi bir araya getirip cümle kuramayan fenomenler bugün kitap yazıyorlar. Kitabı okudum
3760,1.0,bu flüt süperrr... çok güzel ses veriyor.. ne de olsa kalite.. bence bu fiyatı fazlasıyla hakkediyor.. . bu flütle öğrenirsiniz bence.. Alın ve ömür boyu kullanın..ÇOK sağlam ve kaliteli
3761,1.0,Ürünü indirimde iken almıştım beklentimizi karşıladı.
3762,1.0,Kaliteli ve hesaplı ürün
3763,1.0,Çok güzel ve etkileyici bir kitap. Sıradan kitaplardan değil.
3764,1.0,Hızlı Kargo için teşekkürler
3765,1.0,Mukemmel bir kitap. Hepsi burada zamaninda getirdi. Teşekkürler.
3766,1.0,Mukemmel otesi bir kitap.Kesinlikle tavsiye ederim.
3767,1.0,gercekten hizli ve guvenilir super
3768,1.0,Oğlum çok sevdi 6 yaşında serisini tamamlamak isterdim ama hepsini bılamadım bulduklarımı aldım 
3769,1.0,Fiyatının üzerinde tatmin edici kondisyon
3770,1.0,2 adet aldım memnunum çok güzel bluetooth'la bağlanabilme özelliği var sesi güzel çıkıyor zırıltı falan yok Antalya'dan Rahmi acır tavsiye ederim 2 yaşında torun var onu aldım oynuyor bazen biz eşlik ediyoruz çocuklar için çok güzel bir şey
3771,1.0,Bir erkeğin dilinden de bir mektup yazılmasını tememni ettiğim güzel mektup..
3772,1.0,Yeni başladım gitara ve bu fiyata en iyisini aldığımı düşünüyorum 
3773,1.0,çok faydalı
3774,1.0,Kapagi olan okumalik kitap
3775,1.0,Dan Brown çağın ötesinde karakterlere hayat vermeyi çok iyi başarıyor.Başarılı bir eser daha..
3776,1.0,Arkadaş tavsiye edilir bi gitar bugün elime ulaştı ve bu kadar iyi olacağını zanetmiyordum ama harbi harbi iyi..tavsiye ederim arkadaşlar....
3777,1.0,Mükemmel bir kitap
3778,0.0,üründe cd çıkmadı talep ettim bekliyorum...
3779,1.0,Müthiş bir kitap kızım aylarca elinden bırakmadı. Hala da okumaya devam ediyoruz. Kızım 3.5 yaşında ve çok hoşuna gitti.
3780,1.0,hızlı sorunsuz gönderi için teşekkürler.oğlumdaki okurken eğlence ve sonrasında davranış gelişimleri bizi mutlu etti..öğretici
3781,1.0,büyük ustanın unutulmaz eserlerinden biri mutlaka okunmalı.
3782,1.0,Kitap mükemmel bir akıcılıkla kaleme alınmış. Bunu okumadan ölmeyin :
3783,1.0,okumaya yeni başladım. Sürükleyici bir kitap.beğendim
3784,1.0,fiyatı çok uygun ve alınabilecek en iyi piyanolardan biri roland zaten tartışmaya bile gerek yok çok beğendim kurulumu falan gayet kolay teşekkürler hepsiburada
3785,1.0,ürün gayet başarılı. kamera görüntü kalitesi beklediğimden daha iyi. fiyat performans açısından oldukça başarılı.tavsiye edebileceğim bir ürün.
3786,1.0,bu fiyata harika bir ürün taşlar parlak plastik ağırlığı iyi güzel oturuyor tahtası güzel kesinlikle fiyatından fazlası.
3787,1.0,Hızlı kargo. Uygun fiyat. Cildi sorunsuz
3788,1.0,Çok teşekkür ederim gerçekten beklediğimin çok ama çok üstünde bir drone cuma sipariş verdim pazartesi sabah elime ulaştı gerçekten çok hızlı bir satıcı güvenilir saglam tekrardan teşekkür ederim tezgahınıza malınıza bereket iyi çalışmalar
3789,1.0,Kitap elime ulaştığında çok güzel görünüyordu okumaya başladım ve okudukça okuyası geliyo insanın. Kargodada hiç sorun yoktu kitapta hiç bir defo yırtık yoktu gerçekten 10 numara 5 yıldız okumanızı tavsiye ederim
3790,1.0,2 günde elimize ulaştı. paketleme iyi. içinde herhangi bir eksiği yok. resimlerde belli olmasada tuşların üzerinde notalar yazmaktadır. fiyatı dışarıya gore %30 uygun.
3791,1.0,sabahattin alinin kitaplarini okumayi bu kitaptan basladim ve gayet guzeldi akiciydi bir gunde bitebilecek bir kitaptir ve kitapcilardaki fiyatindan oldukca uygun diger kitap sitelerine kiyasla gene en uygunu hepsiburada ??
3792,1.0,ruslara karşı milletin kurtuluş mücadelesi nerdeyse bir klasik tavsiyem şiddetli
3793,1.0,ses tok ve güzel
3794,1.0,gayet başarılı güzel bir kitap
3795,1.0,Ne zaman alışveriş yapsam müthiş hızlı müthiş kaliteli tek kelime ile harikasınız 
3796,1.0,2.5 yaşındaki oğlumuz için ürünü aldık.hızlıca elimize ulaştı güzel bir set
3797,1.0,paketleme
3798,0.0,Benzetmeler o kadar saçmaki örneğin
3799,1.0,Kitabı sevdim.Fiyatıda işin içine girince çok uygun.Başka sitelerde fiyatı çok oynuyor.Bunun için hepsiburada.coma teşekkürler.İçindeki poster ise gayet kaliteli.Kargo süresi de kısa sürdü...
3800,1.0,Belki de bugüne kadar tarihi hep tarih kitaplarının dilinden öğenmeye çalıştığımız için bilgilerimiz kalıcı olmadı. Biz ne kadar etkili anlatabiliyorsak
3801,1.0,Malzeme çok kaliteli
3802,1.0,3 yaş 3 aylik kızım için 3 yaş seti aldık.Uc kitap bir haftada bitti kizim çok zevk aldi ancak biraz fazla kolay geldi bize.Bir süre sonra 4 yaşı almak istiyorum.
3803,0.0,Anlattığı tek şey
3804,1.0,Urun bana hediye geldi guzel ama tel cizirtiyo
3805,1.0,Mükemmel bi kitap ??????
3806,1.0,hızlı kargo güzel kitap iyi .
3807,1.0,Kitabı herkesin okumasını tavsiye ederim
3808,0.0,bir hevesle kapağa aldanıp alınan ve tam bir hayal kırıklığı yaşatan kitap. kelimelerin hepsi resimle anlatım gibi duruyor. fakat alakası yok. bana gelen kitapta sayfaların çoğunda baskı hatası vardı
3809,1.0,kitap bugün elime geçti bir solukta okunabilecek cinsten. herkes içinde kendisini bulabilir.hepsi burada ya teşekkürler
3810,1.0,Teşekürler
3811,1.0,Bir eksisi yok. 10 numara 5 yıldız: Ürün çok başarılı.
3812,1.0,Çok hızlı geldi
3813,1.0,Kitabı henüz okumadım ama sipariş süreci ve paketleme iyiydi
3814,1.0,Gayet basarili bir seri. Tali hayatimizin her aninda war artik yemek yiyor
3815,1.0,Evrimle ilgili güzel bir kitap ..Daha başındayım..
3816,1.0,ogluma aldik ama beraber dusunerek oynuyoruz
3817,1.0,hergün çocuğuma bir tane okuyorum diğerüç serisini de aldım toplam otuz adet her gün bir tane okuyorum bir ayda bir sıra geliyor çocuklar için çok eğitici olduğunu düşünüyorum
3818,1.0,çokseverek yapıyoruz oğlum 4 yaşında
3819,1.0,aldığımız günden beri çocuklarım çok sevdi resimlerine bayıldılar her gece okunan başucu kitabımiz oldu kargo çok hızlı teşekkürler hepsi burada
3820,1.0,Güzel bir kitap
3821,1.0,kitap alırken okuyucu yorumlarına muhakkak bakarım. tarih kitabı okumayı sevenlerin muhakkak alıp okuması gerekiyor. olaylar o kadar güzel anlatılmış ki bazı yerlerde tüyleriniz diken diken oluyor. kitaplığınızda bulunmalı.
3822,1.0,Gerçekten harika bi kitap..okudukça bırakamıyorsunuz we kitabın sonLarına doqru iyice heyecanLanıyorsunuz.Birbirinden farkLı hayatLarın nasıL oLurda aynı çemberde oLabiLdikLerine şaşıyorsunuz..Okuyun pişman oLmazsınız derim ben..
3823,1.0,Harika bir kitap
3824,1.0,TEŞEKKÜRLER
3825,1.0,Kitaplar çok güzel. Defalarca okudum küçük kızıma...
3826,1.0,yoruma ne gerek
3827,1.0,Kusursuz
3828,1.0,Ürün orijinal ve kaliteli. Fiyat olarakta çok uygun. Başka yerde aramaya gerek yok. Oldukça şıkpaketlenmişti. Paketi bozmamak için açmak istemedim : Teşekkürler.
3829,1.0,kitap kesinlikle çocuk kitabı değil ve her insanın okuması gereken bir kitap.mükemmel bir duygu var kitapta. Vasconcelos zaten doğuştan bir yazar okuyucuyu hiç sıkmamış. serinin devamı olan Güneşi Uyandıralım ve Delifişek de aynı derecede mükemmel kitaplar.Ancak Şeker Portakalı benim hayatımda okuduğum en güzel kitaplardan biri.
3830,1.0,tarihin
3831,1.0,BANA EMPATİ YAPMAMI SAĞLADI... ÇOK GÜZEL BİR KİTAP...OKUMANIZI TAVSİYE EDERİM.
3832,1.0,Renklerdirmesi
3833,1.0,Güzel bir kitap
3834,1.0,ürün aynı resimdeki gibi ve açıklamada anlatıldığı gibi. hızlı kargo güzel ilgi. 
3835,1.0,Ürün güzel ama uzun süreli kullanımda üstteki beyaz tabaka soyulacak gibi
3836,1.0,Kısa sürede sorunsuz elime ulaştı.Başarılı.
3837,1.0,8 yaşındaki oğlumla beraber okuduk ve çok sevdik . 
3838,1.0,Beğenerek oynuyoruz
3839,1.0,tek kelime ile harikaydı. Akıcı
3840,0.0,Selamlar bu bizim ikinci dronumuzdu
3841,1.0,Ürün gayet iyi yıpranmamış vaziyettiydi. Ancak artık lütfen 3 kuruş tasarruf edeceğiz diye müşteriyi mağdur etmeyi göze alarak PTT Kargo kullanmaktan vazgeçiniz.
3842,1.0,mükemmel herkeste bulunması gereken bi kitap
3843,1.0,Anlatıldığı gibi
3844,1.0,ürün elime 1 günde ulaştı İlber Ortaylı Hocamın ıslak imzasıyla birlikte daha güzel.Ancak aras kargo taşıma sırasında kitabın kapağında yırtık oluşmuş.Kargolamayı karton kutu içinde yapacağınıza baloncuklu naylon ile sarsanız daha az zarar görürmüş.Krgo sıkıntısı hariç güzel işti hepsiburada.Teşekkürler...
3845,0.0,çok övülmüştü bu kitap
3846,1.0,İlber hoca gerçekten mükemmel sürükleyici anlatmış tavsiye ederim. kesinlikle arşivinizde olması gerekir
3847,1.0,fiyatına göre çok iyi.
3848,1.0,Puzzle ilk gördüğümde iş bu dedim ve yorumlara bakarak mükemmel bir puzzle diyerek sipariş verdim bakalım.. Umarım beklediğim gibi gelir.
3849,1.0,kitap gayet akıcı bur dille yazılmış. kısa sürede bitti.konu olarakta güzel tavsiye ederim
3850,1.0,Kitap zaten içeriğini bilerek aldım .güzel herkesin faydalanabileceği bir eser.ancak Kargo berbat ürün 9. Gün-de benim israrimla kendim gidip Sürat denen kargodan aldım. Kargo berbat
3851,1.0,Hızlı Kargo ve Kaliteli Kitap ???? Düşünmeden Alın ??
3852,1.0,bu kitabı alın aldırın Nutuk’tan önce bu sonra Nutuk okunursa daha iyi olur
3853,1.0,Kargo
3854,1.0,ürün 3 günde elime ulaştı..yapımı günde ortalama 3 saatle 2 hafta sürdü..yaparken çok dikkatli olmanız lazım bazı parçalar nerdeyse aynı..yapımı biraz zor olsa da ortaya çıkan görüntü muhteşem..bi educa ya da clementoni değil ama yapıştırıcısını sürünce kalite diğerlerini aratmıyo 
3855,1.0,üflemeyi bilmiyorum denemek için aldım. güzel
3856,1.0,öncesinde 4-6 yaş için olanını almıştım. kızım onu bitirmek üzere. çocuğun zihinsel gelişimi ve dikkat becerisine katkı sağladığını gözlemledik. devamını şimdiden almak istedim.
3857,1.0,3. Seviye olarak alabilirsiniz. 2. olarak kullanmayın benim gibi. Temelim olmadığı için daha basit ve çok soru çözmediğim için biraz zorlayıcı geliyor.
3858,1.0,Bence iyi. İlkokul
3859,1.0,Hızlı alışveriş uygun fiyat...
3860,1.0,Tüm seri çok güzel. Kızım çok seviyor. Ayrıca k&#226
3861,1.0,merhaba harry potter serisinin hepsini aldık kızım severek okudu. sadece bazıları biraz gecikmeli geldi.piyasaya göredaha uyguna aldık teşekkürler hepsi burada.
3862,0.0,Piyasada bu ve benzeri kitapları çok daha ucuza temin edebileceğimiz gibi sürekli tekrara düşenalıştırmalar yer almaktadır. Ayrıca şunuş yazısında kitabın içerik ve kullanım amaç/yöntemlerini anlatması gereken akademisyen olan eser sahibi ard arda anlatım bozuklukları içeren kendini övme yazısı kaleme almasıda kitap ve içerik konusunda ayrıca düşünmeye sevk etmiştir.
3863,1.0,FAYDALI
3864,0.0,Sipariş saatinden sonraki 19 saat içinde ürünün kargoya verileceğini taahhüt ettiler fakat 48 saat sonra kargoya verdiler.Aras kargo da paketi 10 saatlik mesafeden 3 kere transfer etti. Yani paketim 10 saatlik mesafeden 72 saatte elime ulaştı. Çok acı bir durum. Tavsiye etmiyorum. 
3865,1.0,9 adet aldım kutulu halde geldi hepsiexpress tekrardan kalitesini konuşturdu geldikleri vakit evde yoktum aradılar güvenliğe teslim etmeleri söyledim mesaj olarak kime verdiklerini bile yazmışkar bazen alışveriş yaparken zevk alıyorum :
3866,1.0,ahmet ümit her zaman severek okduğum bir yazardır bu kitabınıda çok beğendim sürekliyici tek bir olaya bağlı kalmadan olay içinde olaylar oluyor ve kitap akıp gidiyor.
3867,1.0,Zamanında sıkıntı bitişiz teslim aldım
3868,1.0,Gözlü teslim edildi
3869,1.0,Bağlama kısa sürede ve sağlam şekilde elime ulaştı. Paketten 1 adet yedek tel takımı çıktı. Fiyat ve performans olarak öğrenci bağlaması için güzel.
3870,1.0,24 saat olmadan ürün elime ulaştı kargo firmalarıyla uğraşmaktan bizi kurtardığı için hepsiburadaya çok teşekkür ederim ??
3871,0.0,Beklediğim gibi çıkmadı. Alt tarafta ezilme var sorun olmaz ama ses istediğim gibi çıkmıyor. Fiyatına göre ses veriyor
3872,1.0,Geçen sene okuldan almamız gereken kitapların listesini verdiler ve bu kitaplardan sınavlarda sorumlu olduğumuzu söylediler. Bunun üzerine kitabı aldım ve okudum. İskender Pala deyimlerimizin oluşumunu çok güzel açıklamış. Tavsiye ederim.
3873,1.0,paketleme ve hızlı kargo için çok teşekkür ederim güvenle alışveriş yapabilirsiniz
3874,1.0,İlk defa drone alıyorum hem uygun fiyatı hem sağlamlığı açısından çok güzel. Çok sık doğada olan biri olarak güzel şeylerin ortaya çıkmasında yardımcı olacağını düşünüyorum. Kargo ve ulaşım çok hızlıydı teşekkürler.
3875,1.0,Güzel bir kitap ancak ben 2.5 yaşımdaki kızım için almıştım biraz erken almışım 3 yaşından aonra daha ideal bir kitap
3876,1.0,En düşük fiyatlı işimi görsün diye aldım. Fakat en sevdiğim kemik rengi açık sarı yani kalitelilerinden geldi.Harika oldu resmen !!
3877,1.0,Ürün isteğimiz hemen elimize ulaştı. Teşekkürler
3878,1.0,pek anlamam ama güzel geldi bana
3879,1.0,Daha ne denebilir ki???müthiş bir kitap
3880,1.0,Agatha Christie nin anlatımı ve kurgusu çok iyi. Henüz okumamış olanlara
3881,1.0,Kitabın içindekiler bölümünden önce olan sayfada içimizde yaşayan gerçek martı jonathan'lara sözü aslında herşeyi özetler tarzda öykü olarak bakarsak sıkıcı gelebilir ama aslında tarzı öykü olsada martı jonathan insan ruhuna benzer çünkü insan sürü psikolojisini reddeder özgürlüğe düşkündür inandığı zaman zorda olsa yapar benim şahsi fikrim yazar martı jonathan'ı önce özgürlüğü isteyen bir insan sonra isteğinde başarılı olup başkalarına yol gösteren bir insanı martı olarak karşımıza çıkarmış ve özgürlük isteyen bir insanı martı halinde iyi anlatmış
3882,1.0,Bence kitaplar çok güzel ama son gelen kitabımı getiren kargodan hiç memnun kalmadım&#129296
3883,1.0,beden dili ile ilgili öğrenmek istediklerinizi öğrenebileceğiniz bir başarılı bir kaynak. kitabın yazarının eski CIA görevlisi olması kitabı daha değerli kılmıştır benim gözümde. Sonuçta bu görevliler çok üstün eğitimlerden geçerler. resimli anlatımıyla okunması kolay ve keyifli. herkese tavsiye derim.
3884,1.0,Yorumumun uzerizine yenisini gonderdiler hic beklemiyordum cok şasirdim musteri memnuniyetinin hepsiburada icin nekadar onemli oldugunu ogrendim tesekkur ederim 
3885,1.0,Okuduğumuz birçok kitap iş bankası kültür yayınlarından. Güvenle alabiliyorum hiç sürpriz çıkmıyor. Yine başarılı bir kitap
3886,1.0,Hızlı gönderi ????
3887,1.0,Kitap çok güzel yeni sisteme uyumlu uzun sorular 1 gün içinde elime ulaştı.
3888,1.0,Kitabı çok sevdik. Resimler yazılar çok hoş görünüyor.
3889,1.0,Ürünler çok güzel kutulanmış. Küçük olmasına rağmen kargo poşetine koyulup verilmemiş teşekkür ederim Elektro Market.
3890,0.0,finali basit ve siradan.oyle sabirsizlikla beklenene bir sona yakismamis.zaman kaybi
3891,1.0,Müzikhane satıcısına teşekkürler. Kaliteli ve ucuz.
3892,1.0,Kumanda tepkileri inanılmaz
3893,1.0,Ürün güzel
3894,1.0,Kargo güzel kolilenmiş. her hangi bir deforme yoktu.2 günde elime ulaştı.
3895,1.0,ben beginner seviyesindeym
3896,1.0,1. kitabı okumuştum çok beğenmiştim ikinciyide şuan okuyorum okunması faydalı diyebileceğim kitaplar
3897,1.0,Malum hayatın getirdiği zorunluluklardan dolayı çalışma saatlerimiz oldukça fazla. Kitap çalıştıgım işyerine geldi ve sabırsızlıkla başladım.Şuan Soluksuz okumak İstediğim tek Roman. Okumaya başladıktan sonra kitaptan kopup çalışmaya başlayamıyorum
3898,1.0,Gönderi hızına diyecek yok ?? Oğlum severek dinliyor ve resimlerine bakıyor
3899,1.0,Ürün çok hızlı elime ulaştı. Gerçekten tavsiye ederim. Yapabilecekleriniz hayal gücünüzle sınırlı ve oldukça eğlenceli. Kutu içerisinde belirli sayıda parçalarla yapabileceğiniz örnek modeller olması çok iyi. İkinci kutuyu almayı düşünüyorum. Dikkat edin çocukla beraber oynadığınızı unutabiliyorsunuz :.
3900,1.0,hızlı kargo
3901,1.0,Hızlı kargo güzel paketleme Teşekkürler Hepsi Burada
3902,1.0,Güzel kitap fıyatda uygun tavsiye ederim
3903,1.0,Gerçekten kitap için diyecek pek bişey yok tek kelimeyle harika okumayanlar varsa bence acele edip alsınlar fiatıda uygun bence kaçırmaayın şu an çıkan açlıkounları felan onlardan çok daha iyi tavsiye ederim...
3904,1.0,Hızlı kargo
3905,1.0,Güzel Gitar
3906,1.0,Kitaplar çok güzel 
3907,1.0,Harika bir kitap herkesin okuması gerekir
3908,1.0,Kitabı hepsiburadadan aldım ve elime aldığım gün bitirmek için uğraştım. Uğraştım da denemez kitap su gibi akıp gitti. Olay muhteşem kurgulanmış. Kitap okumayı pek sevmeyenler bile bu kitapla okumayı sevebilirler. Kitabın arka sözünde de yazdığı gibi &quot
3909,1.0,10 numara 5 yıldız .AHMET ÜMİT başka söze gerek yok. :
3910,1.0,3-4 gunde geldi. Urun guzel. Kurulumu kolay. Hasarsiz olarak elimize ulasti Tesekkurler
3911,1.0,Ürünü Cumartesi günü teslim aldım. İlk iş bataryalarını şarj ettim ve kılavuzu okuduktan 5 dakika sonra ilk uçuşumuzu yaptık. İlk drone uçurma deneyimim olacağı için biraz temkinli başladım fakat. Drone o kadar stabil ve kolay yönetiliyor ki 2. bataryaya geçtiğimde sivil havacılık sınırları içinde tüm denemelerimi yaptım : Rüzgar direnci Kamerasının hareket edebilmesi en çok beğendiğim özellikleri. Hızlı gönderi için teşekkürler.
3912,1.0,Çok güzel bir set 2
3913,1.0,tavsiye ederim.Bu kitaptan sonra kitaptaki türden etkinlikleri kendiniz oluşturabilirsiniz.ancak kargomkutusu yırtılmış içerisi kontrol edilmiş şekilde geldi.Kitap olduğu için bu durumu önemsemedim.1 yıldızı kargodan kırdım
3914,1.0,Eşim bu kitabı okuduktan sonra arkadaşına da almak istedi. Kitapçılardan daha uygun olduğu için buradan almaya karar verdik ve aldık. Arkadaşına da hediye etti. Eşim çok beğenerek okudu. Onun adına tavsiye edebilirim :
3915,1.0,Yüzüklerin Efendisi
3916,1.0,Kargoyu PTT ye verdikleri için çok yavaş geldi. Kitapta sorun yok kargo çok kötü
3917,1.0,Son yıllarda okuduğum en akıcı en keyif verici ve insanın içine işleyen bir kitap kesinlikle okunması gereken bir eser bence ve filmi yapılması gereken bir kitap bence bu kitap i sizlerede tavsiye ederim kahraman tazeoglunun emeğine saglik
3918,1.0,mükemmel kesinlikle tavsiye ederim. Teşekkürler
3919,1.0,Kaliteli baskı zamanında teslim severek okuyor oğlum
3920,1.0,Konusu sanal gerçeklik oyunu olan bir kitap. Sword art online izleyenler ve benzeri bir kitap arayanlar çok beğeneceklerdir. Bu tarz hikayeleri sevenler tereddüt etmesin.
3921,1.0,Hangi kitaptan başlasam ve ya hangi kitaptan devam etsem sorusunun cevabı
3922,1.0,İdare eder. 
3923,1.0,ürünü öğrencilerimiz için daha önceden almıştık ben okumadım ama çocuklar inanılmaz bi azimle okuyorlardı. günde serinin bir kitabını bitiren bile vardı. demekki gayet akıcı sürükleyici bi eser özellikle bayanlar için...
3924,1.0,hızlı teslimat. 
3925,0.0,Ürün Çok Kötü
3926,1.0,Remix tuşu acilinca ses kısma calismiyor. Yapacak bisey yok. Komsular biraz rahatsiz olacak artik. Genel olarak iyi
3927,1.0,kitabı hepsi buradadan aldım ve elimden bırakamadan okudum. imkansız diye bir şey yoktur. kitabı okuyunca hayata bakışınız değişecek. mutlaka okumalısınz. aynı yazarın empati kitabınıda birlikte almıştım onu da tavsiye ediyorum. yaz tatilini iyi değerlendirmenin bir yolu.
3928,1.0,Sorunsuz Alışveriş.
3929,1.0,Başlangıç için gayet iyi bir ürün. Fiyat/performans olarak en iyisidir diyebilirim. Satıcı çok iyi fakat PTT kargo her zaman olduğu gibi yanlış seçim.
3930,1.0,Daha okumadım ama düşük fiyat hızlı kargo
3931,1.0,uzun süreli araştırmalar sonucu Bu pikapta karar kıldım Bu fiyatlarda orta kaliteli bir ürün arıyorsanız kesinlikle bunu seçmelisiniz şekli şemali çok hoş olduğu gibi ses kalitesi ve yüksekliği de oldukça yeterli Sonuçta pikap olduğu için Gümbür Gümbür Ses Sistemleri gibi çalan bir yapıya sahip değil ince tiz seslerin ve vokalin ön planda olduğu Plak materyali için sesi oldukça yüksek Hatta Son seste dinlediğinizde rahatsız bile ediyor özellikle indirimler takip edilirse kesinlikle tavsiye ediyorum
3932,1.0,Kitapların basım kalitesi ve içeriği çok güzel tavsiye ederim 
3933,1.0,Okumazsanız çok şey kaçırırsınız...
3934,1.0,Çocuklar için diyor ama öyle değil: her yaşa hitap ediyor
3935,1.0,Oğlum severek yapıyor ve çok beğendik.
3936,1.0,kitabı 22 aylık oğlum için aldım. 3 seriden oluşan kitap kolaydan zora gidiyor şu an ilk kitaptayız. bana göre bu kitap 2 yaşa girişvb diye adlandılabilir. çünkü bir kaç ay sora basit bi kitap haline gelecek. ama ne olursa olsun 20 tl gibi bir fiyata kış günleri aktivite yapılabilir. 
3937,1.0,müthiş!inanılmaz bir zeka ürünü!Dan Brown tarzı kitapları okumaktan hoşlananlar bayılacaklar!yazarın internet sitesini de ziyaret edin derim.
3938,1.0,Hızlı teslimat. 
3939,1.0,Mükemmel
3940,1.0,Kesinlikle çok iyi ve faydalı
3941,1.0,okumayı çok arzu ettğim ve kitapçılarda rast gelemediğim bir romana çok uygun bir fiyatla ayağıma kadar gelmesi ile rahat bir şekilde sahip oldum.
3942,1.0,Ürün güzel özelikle plastikler sadece tek sorun benim bez olması benim için problem olmayacağından dolayı gönül rahatlığıyla aldım
3943,1.0,Holı telimat uygun fiyat çok iyi satıcı
3944,1.0,Teşekkür ederim zamanında ve güvenli 
3945,1.0,Oyun beklediğimden çok daha kaliteli geldi.Tahtası çok güzel gayet kulllanışlı.Paketleme de çok güzeldi.
3946,1.0,Haini bol bir coğrafyada yaşamanın
3947,1.0,Uygun fiyat ve imzalı. Teşekkürler.
3948,1.0,ürün iki gün içerisinde elimize ulaştı. gayet güzel.paketleme ve teslimattan memnun kaldık
3949,1.0,Bu kitabı ilk olarak &quot
3950,1.0,Acayip güzel
3951,1.0,Ses kalitesi beklentilerimin çok üzerindeydi. Bir tane de arkadaşım için almayı düşünüyoruz. Hb de fiyatı düşmüş bir dahakini de buradan alacağım
3952,1.0,muhteşem bir kitap mutlaka okumalısınız
3953,1.0,hikayede bir kadının hayatını anlatıyor.guzel ama çok fazla uzatıyo gereksiz hatıralarıyla.fazla gereksiz detaylı hatıralar var.ama guzel hikaye beğendim
3954,1.0,Animokitap aracılığı ile kitabımı aldim
3955,1.0,fiyatı uygun ürün
3956,1.0,İmza için teşekkür ederim 
3957,1.0,yorumlarda okumuştum zaten kitaplar ayrı ayrı geliyor ama gayet güzel tavsiye ederim
3958,1.0,Hızlı ve tam teslimat
3959,1.0,Ben hastane kapısı süslemek için Armada adlı satıcıdan fuşya rengini aldım renkleri çok canlı güzel. Yarım metre az olduğu için ayriyeten 1metre daha kesip koymuşlar başkası olsa eksik gönderirdi tsk ediyorum dürüst satıcı
3960,1.0,Kargo ve paketleme çok iyiydi hediye tezeneler için teşekkürler
3961,1.0,Güzel bir ürün üstelik çok çabuk geldi teşekkürler
3962,1.0,Hızlı ve güvenli teslimat
3963,1.0,ilk gitarım olduğu için üstüne biraz düştüm ve araştırma yaptım iyi olup olmadığından dolayıaldım çok memnunum herkese tavsiye ederim
